Selection,View,Channel,Begin.Time..s.,End.Time..s.,Low.Freq..Hz.,High.Freq..Hz.,Peak.Freq..Hz.,Delta.Time..s.,,Center.Time..s.,Dur.90...s.,BW.90...Hz.,Pace1,Pace2,Total.Pace,N..of.notes,notes.2,notes.1,source,Begin.File
1,Spectrogram 1,1,13.57158423,16.89531655,1229.88,4919.522,2153.32,3.3237,,15.5167,2.0143,344.531,6.08,2.49,8.57,31,9,22,argentina,129752.wav
2,Spectrogram 1,1,37.43410362,40.55898016,1251.843,4765.787,2153.32,3.1249,,39.4043,1.817,344.531,6.24,2.68,8.92,30,9,21,argentina,129752.wav
3,Spectrogram 1,1,70.21620421,73.47365128,1229.88,4963.446,2153.32,3.2574,,72.2547,1.8576,344.531,5.68,2.44,8.12,30,9,21,argentina,129752.wav
4,Spectrogram 1,1,94.59675669,97.75951052,1251.843,4721.863,2067.188,3.1628,,96.6066,1.8982,344.531,5.99,2.45,8.44,31,9,22,argentina,129752.wav
5,Spectrogram 1,1,112.9648108,116.2790738,922.41,5029.333,2153.32,3.3143,,114.9446,2.1478,344.531,5.57,2.28,7.85,31,9,22,argentina,129752.wav
6,Spectrogram 1,1,129.7826755,133.0685305,988.297,4809.711,2153.32,3.2859,,131.7268,2.1188,344.531,5.86,2.4,8.26,31,9,22,argentina,129752.wav
7,Spectrogram 1,1,148.5267221,151.604252,966.335,4699.9,2153.32,3.0775,,150.4653,1.8692,344.531,5.51,2.36,7.87,30,9,21,argentina,129752.wav
8,Spectrogram 1,1,167.2139528,170.4713999,1076.145,4919.522,2153.32,3.2574,,169.256,1.8576,344.531,5.83,2.39,8.22,31,9,22,argentina,129752.wav
9,Spectrogram 1,1,188.1047557,191.3527335,944.373,5007.371,2153.32,3.248,,190.1424,1.9505,344.531,7.2,2.95,10.15,31,9,22,argentina,129752.wav
10,Spectrogram 1,1,211.9118497,215.3492139,1054.183,5029.333,2153.32,3.4374,,214.0009,2.2117,344.531,7.16,3.25,10.41,32,10,22,argentina,129752.wav
11,Spectrogram 1,1,231.5919695,234.6979074,900.448,4853.635,2153.32,3.1059,,233.5115,1.8634,344.531,7.11,2.59,9.7,30,8,22,argentina,129752.wav
12,Spectrogram 1,1,250.7768176,254.1668352,922.41,4963.446,2153.32,3.39,,252.8537,2.1711,344.531,6.66,3.03,9.69,32,10,22,argentina,129752.wav
13,Spectrogram 1,1,261.402006,264.6405144,878.486,5007.371,2067.188,3.2385,,263.4536,1.9389,344.531,6.78,2.77,9.55,31,9,22,argentina,129752.wav
14,Spectrogram 1,1,277.8330186,281.0336498,988.297,4919.522,2067.188,3.2006,,279.7482,2.0898,344.531,7.14,2.92,10.05,31,9,22,argentina,129752.wav
15,Spectrogram 1,1,295.0714429,298.3194207,1010.259,4985.408,2067.188,3.248,,297.1283,1.9447,344.531,6.96,2.85,9.81,31,9,22,argentina,129752.wav
16,Spectrogram 1,1,313.0688032,316.3357196,900.448,4941.484,2067.188,3.2669,,315.1296,2.0376,344.531,7.04,2.88,9.92,31,9,22,argentina,129752.wav
