N. de tombo,Local de coleta,País de coleta,Subespécie,Museu,Sexo,Comprimento da Asa (cm),Comprimento da Cauda (cm),Comprimento da Crista (cm),Número de listras,Distância entre listras (mm),Comprimento do Bico (mm),Largura do Bico (mm),Altura do Bico (mm),Curvatura do Bico (mm),Tarso - Metatarso (mm)
33345,Rio de Janeiro,Brasil,B. cinerea cinerea,MZUSP,F,11.7,16,2.7,11,5.7,24,8.2,13.4,4.9,46.8
33347,Rio de Janeiro,Brasil,B. cinerea cinerea,MZUSP,F,11.9,17,3.5,11,5.3,22.6,8.1,13.6,3.2,50.45
4072,São Paulo,Brasil,B. cinerea cinerea,MZUSP,F,11.5,17.5,2.2,13,5.7,22.5,7.9,13.7,4.4,47.3
,São Paulo,Brasil,B. cinerea cinerea,MZUSP,F,11.6,19.5,3.7,13,5.4,22.35,8,13.2,2.85,45.4
34002,São Paulo,Brasil,B. cinerea cinerea,MZUSP,F,11.6,16.2,3.6,11,4.8,21.65,7.45,13.25,3.55,41.15
51143,São Paulo,Brasil,B. cinerea cinerea,MZUSP,F,11,17.9,3.5,14,3.75,20.8,8.35,12.75,3.5,49.85
97950,São Paulo,Brasil,B. cinerea cinerea,MZUSP,F,12.9,16.5,3.8,13,3.85,21.3,9,13.5,2.55,49.4
103404,São Paulo,Brasil,B. cinerea cinerea,MZUSP,F,11.6,17.3,3.3,10,4.15,22.6,8.5,12.95,4.25,48.1
595,Rio Grande do Sul,Brasil,B. cinerea cinerea,MZUSP,F,13.3,19.5,4.4,13,5.45,23.1,8.15,13.6,4.2,48.35
33346,Rio de Janeiro,Brasil,B. cinerea cinerea,MZUSP,M,11.5,17.4,3,13,10.8,21.85,7.75,13.95,4.05,42.4
34349,Rio de Janeiro,Brasil,B. cinerea cinerea,MZUSP,M,12.5,17.3,3.5,12,10,24.7,8.6,13.6,5.1,49
34791,Rio de Janeiro,Brasil,B. cinerea cinerea,MZUSP,M,12.1,17,3.8,11,10.75,23.85,8.15,15.15,4.85,47
4012,São Paulo,Brasil,B. cinerea cinerea,MZUSP,M,12.1,18.4,2.8,13,12.7,,9.15,13.7,,53
49815,São Paulo,Brasil,B. cinerea cinerea,MZUSP,M,11.5,16.35,3.5,11,12.7,25.4,8.05,14.05,4.95,46
49816,São Paulo,Brasil,B. cinerea cinerea,MZUSP,M,11.9,16.5,3.7,12,11.5,21.5,8.15,14.9,3.2,47.85
49817,São Paulo,Brasil,B. cinerea cinerea,MZUSP,M,12,16.2,4,11,12.2,22.75,8.05,13.95,3,47.1
49818,São Paulo,Brasil,B. cinerea cinerea,MZUSP,M,11.6,18,3.5,11,13.1,22.25,7.45,13,3.3,48
49819,São Paulo,Brasil,B. cinerea cinerea,MZUSP,M,11.1,15.3,3.5,11,11.55,22.2,7.8,12.9,2.4,47.25
51142,São Paulo,Brasil,B. cinerea cinerea,MZUSP,M,11.8,16.3,3.5,12,10,22.1,7.5,13.5,3.15,46.7
60734,São Paulo,Brasil,B. cinerea cinerea,MZUSP,M,12,15.4,3.6,10,11,22.2,7.85,13.55,3.25,46.85
61200,São Paulo,Brasil,B. cinerea cinerea,MZUSP,M,12,16.6,3.5,12,10,22.2,7.95,13,2.3,48.45
67000,São Paulo,Brasil,B. cinerea cinerea,MZUSP,M,12.9,17.5,3.7,12,11.7,24.6,7,13.7,3.7,49.35
69751,São Paulo,Brasil,B. cinerea cinerea,MZUSP,M,12.5,16.5,3.2,9,11.95,21.7,7.85,13.55,3.2,45.45
103403,São Paulo,Brasil,B. cinerea cinerea,MZUSP,M,10,16.8,3.5,13,13.15,21,7.55,13,2.45,45.7
68596,Paraná,Brasil,B. cinerea cinerea,MZUSP,M,12,18.5,3.9,11,12.05,22.75,7.3,13.65,3.3,44.3
154192,Missiones,Argentina,B. cinerea cinerea,AMNH,F,12.2,18.9,4.2,11,8.65,23.75,7.15,13.65,3.85,52
154193,Misiones,Argentina,B. cinerea cinerea,AMNH,F,11,17,3.7,12,4.1,22.4,7.4,13.15,3.2,55.4
770831,Misiones,Argentina,B. cinerea cinerea,AMNH,F,12.6,17.9,3.4,11,5.75,23.8,8.55,14,4,49
36656,"""NE""",Argentina,B. cinerea cinerea,AMNH,F,12.2,16.3,3.5,12,4.75,23.7,7.75,14,4.45,45.4
154191,Misiones,Argentina,B. cinerea cinerea,AMNH,M,11.5,18,3.9,11,11.55,23.05,7.4,13.8,3.75,51.3
154190,Misiones,Argentina,B. cinerea cinerea,AMNH,M,11.1,17.1,3.1,11,12.5,24.3,7.3,13.55,3.5,49.9
795243,Misiones,Argentina,B. cinerea cinerea,AMNH,M,12.95,18.8,3.8,11,12.3,24.4,7.7,14.5,4,48.75
146731,Misiones,Argentina,B. cinerea cinerea,AMNH,M,12.4,17.8,4.1,11,12.85,23.9,8.85,14.1,4.6,51.35
770829,Misiones,Argentina,B. cinerea cinerea,AMNH,M,12.8,18.5,4.4,10,13.45,23.85,8.05,12.75,2.65,51.2
770830,Misiones,Argentina,B. cinerea cinerea,AMNH,M,12.3,18.1,4,10,13.75,24.45,8.25,14.6,5.4,50.2
786421,Salta ,Argentina,B. cinerea argentina,AMNH,F,11.4,15.2,3.6,13,3.7,20.9,7.7,13.15,3.6,43.6
788751,Salta ,Argentina,B. cinerea argentina,AMNH,F,11.5,14.9,3.7,13,4.1,20.8,5.9,12.45,3.5,44.2
788751,"""NE""",Argentina,B. cinerea argentina,AMNH,M,9.6,17.4,3.7,12,9.3,21.35,6.9,12.35,3.9,43
314456,Rio Grande do Sul,Brasil,B. cinerea cinerea,AMNH,F,12.6,18.3,4.2,11,4.75,23.65,7.95,14.8,3.5,48.45
43313,Rio Grande do Sul,Brasil,B. cinerea cinerea,AMNH,F,11.9,17.9,4,13,5.7,22.45,7.7,13,3.9,45.55
314458,Santa Catarina,Brasil,B. cinerea cinerea,AMNH,F,11.6,19.8,4,12,5.2,-,7.85,13.4,-,46.75
489036,NE (Brasil),Brasil,B. cinerea cinerea,AMNH,F,12.6,17.2,3.95,12,4.4,24.1,7.65,14.5,4.35,46.65
6824,Rio de Janeiro,Brasil,B. cinerea cinerea,AMNH,F,12.1,18.1,3.8,12,4.2,23.35,7.65,13.85,4.25,45.85
43314,Rio Grande do Sul,Brasil,B. cinerea cinerea,AMNH,M,13.1,19.1,4,11,12.4,22.9,8,13.45,4.1,47.15
314455,Rio Grande do Sul,Brasil,B. cinerea cinerea,AMNH,M,12.5,18.2,4.45,11,12.95,23.7,7.95,14.4,2.9,49.3
314457,Santa Catarina,Brasil,B. cinerea cinerea,AMNH,M,12,18.6,3.7,13,9.25,21.7,8.15,13.6,2.9,48.45
489038,"""NE""",Brasil,B. cinerea cinerea,AMNH,M,12.5,17.05,3.7,11,11.85,24.6,7.6,13.35,4.6,47.4
489037,"""SE""",Brasil,B. cinerea cinerea,AMNH,M,11.7,17,3.55,11,10.5,23.45,7.85,14.05,4.35,46.45
6823,"""NE""",Brasil,B. cinerea cinerea,AMNH,M,12.5,17.1,3.45,9,12.5,24.05,7.75,13.55,5.7,48.25
489031,Paraná,Brasil,B. cinerea cinerea,AMNH,F,11.5,17.5,3.95,12,4,23,7.95,14.25,3.55,48.65
489032,Paraná,Brasil,B. cinerea cinerea,AMNH,F,11.4,18.65,3.8,10,6.65,23,7,13,2.75,49.9
489033,Paraná,Brasil,B. cinerea cinerea,AMNH,F,12.8,17.2,4.35,12,3.75,21.4,7.75,13.2,4.3,48.7
188980,Serra do Itatiaya,Brasil,B. cinerea cinerea,AMNH,F,12.1,17,-,12,4.95,22.7,8.15,13.3,3.75,48.35
489030,Paraná,Brasil,B. cinerea cinerea,AMNH,M,12.3,18.4,4,11,14.7,23.45,8.4,13.75,4.25,47.55
489034,Paraná,Brasil,B. cinerea cinerea,AMNH,M,11.5,18.9,3.8,12,14,24.75,8.2,13.45,5.55,49.05
489035,Paraná,Brasil,B. cinerea cinerea,AMNH,M,11.6,18.5,3.7,12,12.85,22.2,7.8,13.45,3.5,47.7
188979,Serra do Itatiaya,Brasil,B. cinerea cinerea,AMNH,M,12.6,19.2,4.35,12,12.9,24.25,8.1,14.1,4.35,51.05
139983,São Paulo,Brasil,B. cinerea cinerea,AMNH,M,12.3,17.6,3.95,12,12.65,25.56,7.55,13.85,5.9,42.6
77303,Santa Cruz,Bolivia,B. cinerea excubitor,UWBM,F,10.7,15.7,4,18,4.5,19.24,12.99,11.95,2.53,41.38
256041,Jujuy,Argentina,B. cinerea argentina,FMNH,F,11,14.4,3.4,12,7,23.3,15.34,7.9,3.27,42
293974,Chuquisaca,Bolivia,B. cinerea argentina,FMNH,M,11.3,16.3,3.5,11,11,20.49,20.06,9.6,3.76,39.53
256042,Jujuy,Argentina,B. cinerea argentina,FMNH,M,11.4,15.6,3.7,12,10,21,19.01,8.75,4.03,42
296144,Santa Cruz,Bolivia,B. cinerea excubitor,FMNH,F,10.8,15.3,2.6,15,4,20.13,15.76,7.14,2.33,40.6
50277,Misiones,Argentina,B. cinerea cinerea,FMNH,M,12.4,16.1,3.8,10,14,25.59,21.47,10.04,3.74,45.88
50276,Misiones,Argentina,B. cinerea cinerea,FMNH,F,12.1,16.9,3.5,11,9,22.21,16.64,8.4,3.65,46.57
110849,Paraná,Brasil,B. cinerea cinerea,FMNH,M,11.8,16.2,3.2,12,13,22.46,16.36,8.38,3.75,43.48
265128,São Paulo,Brasil,B. cinerea cinerea,FMNH,F,12.1,17,3.6,12,7,22.12,15.41,9.22,4.11,46.11
344458,São Paulo,Brasil,B. cinerea cinerea,FMNH,M,12,16.5,3.1,10,13,23.08,15.4,9.87,4.26,42.82
265129,São Paulo,Brasil,B. cinerea cinerea,FMNH,F,11.6,15.8,3.4,11,8,22.89,15.69,8.76,3.66,46.11
265130,São Paulo,Brasil,B. cinerea cinerea,FMNH,M,11.9,16.5,3,12,11,22.61,16.5,8.81,3.06,43.88
49014,-,Brasil,B. cinerea cinerea,FMNH,M,13,16.4,3.5,12,12,24.07,16.37,9.11,4.22,45.66
80972,Santa Cruz ,Bolivia,B. cinerea excubitor,CM,M,11,15.9,,16,7.89,33.3,7.7,13.8,33.29,37.31
80973,Santa Cruz ,Bolivia,B. cinerea excubitor,CM,M,11.5,14.1,,11,9.65,30.65,8,13.6,31.2,34.55
120133,Santa Cruz ,Bolivia,B. cinerea excubitor,CM,F,11.1,15,,17,8.82,29.55,7.97,12.6,29.53,38.33
284829,Jujuy,Argentina,B. cinerea argentina,USNM,M,11.8,15.8,5.19,12,11.8,25,10,13.2,5.2,43.8
264942,Misiones,Argentina,B. cinerea cinerea,USNM,M,11.9,18.3,5.76,13,13.5,25.2,8.8,14,4.9,47.8
284830,Jujuy,Argentina,B. cinerea argentina,USNM,F,10.8,15.6,4.76,16,5.5,23.7,7.8,12.5,3.8,44.9
264943,Misiones,Argentina,B. cinerea cinerea,USNM,F,11.6,17.5,5.32,16,7.3,24.6,8.3,13,3.5,48.6
20949,"Pedra Branca, Parati",Brasil,B. cinerea cinerea,MNH,F,12.3,16.6,3.6,12,8.3,22.65,7.6,13.65,3.95,44.3
46571,"Maromba, RJ",Brasil,B. cinerea cinerea,MNH,F,10.6,16.6,3.1,15,5.75,21.2,7.2,13,2.3,52.05
27018,"Jatiboca, ES",Brasil,B. cinerea cinerea,MNH,F,12.2,16.1,,10,5.7,24.65,7.75,13.45,4.55,44.85
23429,-,Brasil,B. cinerea cinerea,MNH,F,12.6,16.7,3.8,12,3.45,23.1,7.8,13.15,4.05,48.6
